Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4.5,8.34,5.75,9.15,13.69,14.23,12.5,26.3,27.93,39.62,34.15,27.81,34.69,22.2,81.64,91.89,111.72,
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,10.58,15.13,5.89,9.23,10.04,12.4,10.16,10.85,13.78,14.68,17.78,22.38,23.85,33.48,31.59,39.97,55.5,30.12,
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.34,18.71,24.53,23.82,17.91,24.48,27.22,40.88,51.85,70.35,137.23,146.82,165.75,162.65,180.39,177.8,185.87,149.54,180.36,
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.64,0.5,4.7,1.31,4.93,5.02,6.16,1.68,2.55,1.2,0.91,3.58,5.26,4.18,8.08,7.99,2.01,3.6,
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8706.12278085886,9416.82137462783,9814.77538302418,11006.269555768,11998.5264080698,12881.0940952697,14660.699923625,16289.5910238796,18488.3,21995.36,24588.6,27827.58,31593.37,35017.79,37822.7,40957.6,45676.13,50420.03,58771.07,
United Arab Emirates,ARE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.44,380.58,399.54,539.87,555.02,704.31,824.69,757.57,908.14,1034.18,1265.13,1421.83,1625.96,1765.77,1816.5,2294.58,2484.16,2899.67,3144.89,
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385.98,4501.47,4811.32,4598.69,4702.95,4964.45,5587.62,5684.67,6270.29,6897.38,7236.62,7733.75,7842.75,7994.13,8464.74,8370.01,8593.36,8704.3,8811.13,
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.29,305.85,315.85,317.38,343.09,388.1,349.34,391.91,374.22,433.78,487.46,586.85,548.17,539.92,544.54,531.24,530.82,511.24,521.33,
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
