Journal,Year,Volume,Issue,Article,Country,Software,Version,Type
Annals of Surgery,2020,272,4,Patterns of National Institutes of Health Grant Funding to Surgical Research and Scholarly Productivity in the United States,USA,SPSS,25,Commercial
Annals of Surgery,2020,272,4,Urgent Care Centers Delay Emergent Surgical Care Based on Patient Insurance Status in The United States,USA,JMP Pro,13,Commercial
Annals of Surgery,2020,272,4,Pediatric Firearm Injuries and Fatalities: Do Racial Disparities Exist?,USA,SPSS,26,Commercial
Annals of Surgery,2020,272,4,Predicting the Outcome of Limb Revascularization in Patients With Lower-extremity Arterial Trauma: Development and External Validation of a Supervised Machine-learning Algorithm to Support Surgical Decisions,United Kingdom,GraphPad PRISM,6,Commercial
Annals of Surgery,2020,272,4,Overall Tumor Burden Dictates Outcomes for Patients Undergoing Resection of Multinodular Hepatocellular Carcinoma Beyond the Milan Criteria,USA,SPSS,25,Commercial
Annals of Surgery,2020,272,4,"Finding the ""True"" N0 Cohort: Technical Aspects of Near-infrared Sentinel Lymph Node Mapping in Non-small Cell Lung Cancer",USA,R,3.5,Open source
Annals of Surgery,2020,272,4,Whole Blood is Superior to Component Transfusion for Injured Children: A Propensity Matched Analysis,USA,Stata,15,Commercial
Annals of Surgery,2020,272,4,Socioeconomic Factors and Intensive Care Unit-Related Cognitive Impairment,USA,R,3.5,Open source
Annals of Surgery,2020,272,4,Multiplexed Plasma Immune Mediator Signatures Can Differentiate Sepsis From NonInfective SIRS: American Surgical Association 2020 Annual Meeting Paper,USA,R,3.6,Open source
Annals of Surgery,2020,272,4,Unintended Consequences of Health Care Reform: Impact of Changes in Payor Mix on Patient Safety Indicators,USA,SAS,9.4,Commercial
Annals of Surgery,2020,272,4,Portable Automated Surveillance of Surgical Site Infections Using Natural Language Processing: Development and Validation,USA,R,3.6,Open source
Annals of Surgery,2020,272,4,How Much Weight Loss is Required for Cardiovascular Benefits? Insights From a Metabolic Surgery Matched-cohort Study,USA,R,3.5,Open source
Annals of Surgery,2020,272,4,Multitasking and Time Pressure in the Operating Room: Impact on Surgeons' Brain Function,United Kingdom,Stata,14,Commercial
Annals of Surgery,2020,272,4,Persistent Racial and Sex Disparities in Outcomes After Coronary Artery Bypass Surgery: A Retrospective Clinical Registry Review in the Drug-eluting Stent Era,USA,Stata,14,Commercial
Annals of Surgery,2020,272,3,Making Every Liver Count: Increased Transplant Yield of Donor Livers Through Normothermic Machine Perfusion,USA,Stata,16,Commercial
Annals of Surgery,2020,272,3,Breast Implant-associated Anaplastic Large Cell Lymphoma Incidence: Determining an Accurate Risk,USA,R,,Open source
Annals of Surgery,2020,272,3,The Impact of Mental Illness on Postoperative Outcomes Among Medicare Beneficiaries: A Missed Opportunity to Help Surgical Patients?,USA,SAS,9.4,Commercial
Annals of Surgery,2020,272,3,"Significance of Lymph Node Resection After Neoadjuvant Therapy in Pancreatic, Gastric, and Rectal Cancers",USA,SAS,9.4,Commercial
Annals of Surgery,2020,272,3,Is It Safe to Manage Acute Cholecystitis Nonoperatively During Pregnancy?: A Nationwide Analysis of Morbidity According to Management Strategy,USA,Stata,15,Commercial
Annals of Surgery,2020,272,3,Predictors of Survival After Liver Transplantation in Patients With the Highest Acuity,USA,R,3.6,Open source
Annals of Surgery,2020,272,3,Quantifying Factors Essential to the Integrity of the Esophagogastric Junction During Antireflux Procedures,USA,Stata,13,Commercial
Annals of Surgery,2020,272,3,A Randomized Controlled Clinical Trial: No Clear Benefit to Prophylactic Central Neck Dissection in Patients With Clinically Node Negative Papillary Thyroid Cancer,USA,SPSS,26,Commercial
Annals of Surgery,2020,272,3,Situating Artificial Intelligence in Surgery: A Focus on Disease Severity,USA,Stata,15,Commercial
Annals of Surgery,2020,272,3,The Increasing Financial Burden of Outpatient Elective Surgery for the Privately Insured,USA,SAS,9.4,Commercial
British Journal of Surgery,2020,107,11,Elective surgery cancellations due to the COVID‐19 pandemic: global predictive modelling to inform surgical recovery plans,United Kingdom,R,3.6,Open source
British Journal of Surgery,2020,107,11,Breast cancer surgery in older women: outcomes of the Bridging Age Gap in Breast Cancer study,United Kingdom,SPSS,25,Commercial
British Journal of Surgery,2020,107,11,Nodal and systemic recurrence following observation of a positive sentinel lymph node in melanoma,USA,Stata,15,Commercial
British Journal of Surgery,2020,107,11,Surgery for multiple endocrine neoplasia type 1-related insulinoma: long-term outcomes in a large international cohort,The Netherlands,SPSS,25,Commercial
British Journal of Surgery,2020,107,11,Geographical differences in cancer treatment and survival for patients with oesophageal and gastro‐oesophageal junctional cancers,Sweden,Stata,14,Commercial
British Journal of Surgery,2020,107,11,Modelling centralization of pancreatic surgery in a nationwide analysis,Italy,Stata,14,Commercial
British Journal of Surgery,2020,107,10,Comparison of the duration of hospital stay after laparoscopic or open distal pancreatectomy: randomized controlled trial,Sweden,SPSS,26,Commercial
British Journal of Surgery,2020,107,10,Trainee-led emergency laparotomy operating,United Kingdom,Stata,15,Commercial
British Journal of Surgery,2020,107,10,"Long‐term outcome of pT1a–b, cN0 breast cancer without axillary dissection or staging: a prospective observational study of 1543 women",Sweden,GraphPad PRISM,5,Commercial
British Journal of Surgery,2020,107,10,Use of bilateral prophylactic nipple‐sparing mastectomy in patients with high risk of breast cancer,USA,R,3.4,Open source
British Journal of Surgery,2020,107,10,Is out‐of‐hours cholecystectomy for acute cholecystitis associated with complications?,Sweden,SPSS,25,Commercial
British Journal of Surgery,2020,107,10,Thromboembolic and bleeding complications in patients with oesophageal cancer,The Netherlands,R,3.4,Commercial
British Journal of Surgery,2020,107,10,Role of tumour location and surgical extent on prognosis in T2 gallbladder cancer: an international multicentre study,South Korea,SPSS,25,Commercial
British Journal of Surgery,2020,107,10,Minimal‐access retroperitoneal pancreatic necrosectomy for infected necrotizing pancreatitis: a multicentre study of a step‐up approach,China,SPSS,17,Commercial
British Journal of Surgery,2020,107,10,"Stent as a bridge to surgery or immediate colectomy for malignant right colonic obstruction: propensity‐scored, national database study",Japan,Stata,15,Commercial
British Journal of Surgery,2020,107,9,Use of an intraoperative wound protector to prevent surgical‐site infection after pancreatoduodenectomy: randomized clinical trial,Italy,SPSS,24,Commercial
British Journal of Surgery,2020,107,9,Assessment of the Non‐Technical Skills for Surgeons (NOTSS) framework in the USA,USA,Stata,15,Commercial
British Journal of Surgery,2020,107,9,Effect of omission of surgery on survival in patients aged 80 years and older with early‐stage hormone receptor‐positive breast cancer,The Netherlands,SPSS,23,Commercial
British Journal of Surgery,2020,107,9,Influence of complications following total mastectomy and immediate reconstruction on breast cancer recurrence,South Korea,SPSS,20,Commercial
British Journal of Surgery,2020,107,9,Adjuvant chemotherapy for patients with gastric neuroendocrine carcinomas or mixed adenoneuroendocrine carcinomas,China,SPSS,22,Commercial
